code,games,participants
CHN,1998 Winter,14
CHN,2002 Winter,16
CHN,1996 Summer,106
CHN,1984 Summer,74
CHN,2008 Summer,184
CHN,2000 Summer,79
CHN,2012 Summer,125
CHN,2016 Summer,113
CHN,2014 Winter,12
CHN,1988 Summer,52
CHN,2004 Summer,94
CHN,1994 Winter,3
CHN,1992 Summer,82
CHN,2010 Winter,19
CHN,2006 Winter,13
CHN,1992 Winter,3
DEN,1900 Summer,9
DEN,1920 Summer,71
DEN,1912 Summer,87
DEN,1906 Summer,34
DEN,1908 Summer,17
DEN,1996 Summer,23
DEN,2016 Summer,41
DEN,2000 Summer,25
DEN,1948 Summer,51
DEN,2004 Summer,29
DEN,2008 Summer,19
DEN,1960 Summer,23
DEN,1956 Summer,6
DEN,1968 Summer,17
DEN,1976 Summer,8
DEN,1980 Summer,8
DEN,1988 Summer,7
DEN,1992 Summer,14
DEN,2012 Summer,16
DEN,1964 Summer,12
DEN,1998 Winter,5
DEN,1932 Summer,11
DEN,1984 Summer,13
DEN,1924 Summer,14
DEN,1952 Summer,9
DEN,1972 Summer,1
DEN,1928 Summer,15
DEN,1936 Summer,6
DEN,1896 Summer,6
NED,1988 Summer,45
NED,1996 Summer,73
NED,2012 Summer,69
NED,2016 Summer,47
NED,2008 Summer,61
NED,1928 Summer,57
NED,1952 Summer,18
NED,2000 Summer,79
NED,1968 Winter,9
NED,1972 Winter,9
NED,1992 Summer,33
NED,2004 Summer,77
NED,1908 Summer,16
NED,1924 Summer,27
NED,1920 Summer,50
NED,1984 Summer,41
NED,2014 Winter,29
NED,1964 Summer,31
NED,1948 Summer,42
NED,2010 Winter,11
NED,1900 Summer,27
NED,1980 Winter,4
NED,1998 Winter,11
NED,2002 Winter,8
NED,1912 Summer,26
NED,1976 Summer,14
NED,1952 Winter,3
NED,1936 Summer,37
NED,2006 Winter,13
NED,1980 Summer,6
NED,1976 Winter,6
NED,1968 Summer,14
NED,1932 Summer,13
NED,1960 Winter,2
NED,1964 Winter,2
NED,1960 Summer,3
NED,1972 Summer,6
NED,1988 Winter,7
NED,1906 Summer,6
NED,1994 Winter,4
NED,1992 Winter,4
USA,2004 Summer,263
USA,2014 Winter,64
USA,1900 Summer,63
USA,2008 Summer,317
USA,2000 Summer,242
USA,1924 Winter,12
USA,1904 Summer,394
USA,1932 Summer,189
USA,1920 Summer,194
USA,1936 Summer,96
USA,1912 Summer,107
USA,2016 Summer,264
USA,1952 Summer,134
USA,1996 Summer,259
USA,2012 Summer,248
USA,2006 Winter,52
USA,1972 Winter,24
USA,1948 Summer,152
USA,1992 Summer,224
USA,1952 Winter,30
USA,1956 Winter,26
USA,1928 Summer,88
USA,1984 Summer,352
USA,1972 Summer,171
USA,1964 Winter,8
USA,1964 Summer,169
USA,2002 Winter,84
USA,1968 Summer,166
USA,1956 Summer,123
USA,1932 Winter,34
USA,1988 Summer,207
USA,1984 Winter,9
USA,1976 Summer,164
USA,1960 Summer,125
USA,1960 Winter,27
USA,1924 Summer,182
USA,1908 Summer,65
USA,2010 Winter,97
USA,1998 Winter,34
USA,1980 Winter,30
USA,1948 Winter,16
USA,1994 Winter,19
USA,1988 Winter,7
USA,1992 Winter,14
USA,1896 Summer,20
USA,1906 Summer,24
USA,1936 Winter,16
USA,1928 Winter,14
USA,1968 Winter,7
USA,1976 Winter,11
FIN,1920 Summer,52
FIN,2014 Winter,33
FIN,1948 Summer,33
FIN,1952 Summer,40
FIN,1932 Summer,29
FIN,1924 Summer,52
FIN,1912 Summer,71
FIN,2002 Winter,13
FIN,2006 Winter,41
FIN,1994 Winter,30
FIN,1960 Winter,13
FIN,1928 Summer,25
FIN,1996 Summer,4
FIN,1936 Summer,27
FIN,2010 Winter,47
FIN,1998 Winter,58
FIN,1984 Summer,12
FIN,1972 Summer,10
FIN,1988 Winter,34
FIN,1924 Winter,15
FIN,1960 Summer,6
FIN,1992 Winter,13
FIN,1992 Summer,7
FIN,1976 Winter,16
FIN,1908 Summer,30
FIN,1928 Winter,4
FIN,2008 Summer,5
FIN,1952 Winter,12
FIN,1956 Winter,12
FIN,1956 Summer,26
FIN,2000 Summer,5
FIN,1948 Winter,9
FIN,1980 Summer,9
FIN,1964 Winter,15
FIN,1984 Winter,19
FIN,1972 Winter,10
FIN,1936 Winter,9
FIN,1906 Summer,4
FIN,1976 Summer,6
FIN,2012 Summer,5
FIN,1968 Summer,4
FIN,1980 Winter,12
FIN,2004 Summer,2
FIN,1988 Summer,4
FIN,1968 Winter,8
FIN,1932 Winter,3
FIN,1964 Summer,5
FIN,2016 Summer,1
NOR,1992 Winter,24
NOR,1994 Winter,30
NOR,2002 Winter,41
NOR,2006 Winter,23
NOR,2008 Summer,22
NOR,1920 Summer,137
NOR,1996 Summer,23
NOR,1952 Winter,19
NOR,1960 Winter,9
NOR,1912 Summer,80
NOR,1998 Winter,40
NOR,2012 Summer,17
NOR,2016 Summer,19
NOR,1908 Summer,42
NOR,1968 Summer,6
NOR,1972 Summer,8
