code,games,participants
CHN,1998 Winter,5
CHN,2002 Winter,9
CHN,1984 Summer,37
CHN,1996 Summer,17
CHN,2016 Summer,37
CHN,2014 Winter,5
CHN,2008 Summer,57
CHN,2012 Summer,29
CHN,1994 Winter,2
CHN,1988 Summer,30
CHN,2000 Summer,17
CHN,2004 Summer,15
CHN,1992 Summer,19
CHN,2010 Winter,7
CHN,2006 Winter,6
DEN,1908 Summer,3
DEN,2016 Summer,16
DEN,1912 Summer,33
DEN,1948 Summer,27
DEN,1988 Summer,3
DEN,2012 Summer,8
DEN,1906 Summer,1
DEN,1976 Summer,5
DEN,1992 Summer,9
DEN,1932 Summer,4
DEN,1984 Summer,10
DEN,1968 Summer,6
DEN,2000 Summer,4
DEN,2004 Summer,9
DEN,1920 Summer,1
DEN,1952 Summer,5
DEN,2008 Summer,6
DEN,1924 Summer,3
DEN,1960 Summer,4
DEN,1996 Summer,1
DEN,1928 Summer,4
DEN,1964 Summer,4
DEN,1896 Summer,3
DEN,1936 Summer,3
DEN,1900 Summer,2
DEN,1980 Summer,2
DEN,1956 Summer,1
NED,1988 Summer,36
NED,2012 Summer,19
NED,1968 Winter,3
NED,1908 Summer,16
NED,2014 Winter,9
NED,1964 Summer,16
NED,1920 Summer,25
NED,2010 Winter,6
NED,1948 Summer,32
NED,1900 Summer,16
NED,2000 Summer,23
NED,1924 Summer,18
NED,2008 Summer,4
NED,1912 Summer,26
NED,2004 Summer,22
NED,1976 Summer,12
NED,2016 Summer,13
NED,1984 Summer,14
NED,1980 Winter,1
NED,1996 Summer,26
NED,1980 Summer,5
NED,1992 Summer,8
NED,1936 Summer,21
NED,1968 Summer,1
NED,1988 Winter,2
NED,1972 Winter,2
NED,2006 Winter,8
NED,1960 Summer,2
NED,1928 Summer,8
NED,1972 Summer,2
NED,1906 Summer,5
NED,1960 Winter,1
NED,1994 Winter,3
NED,1998 Winter,2
NED,1976 Winter,3
NED,1992 Winter,2
NED,1932 Summer,1
USA,2014 Winter,24
USA,1912 Summer,36
USA,2016 Summer,71
USA,1952 Summer,28
USA,1932 Summer,61
USA,1996 Summer,52
USA,1964 Winter,5
USA,1920 Summer,38
USA,2008 Summer,80
USA,1984 Summer,50
USA,1988 Summer,54
USA,1964 Summer,37
USA,1904 Summer,125
USA,2004 Summer,71
USA,1972 Summer,43
USA,1960 Winter,4
USA,1924 Summer,49
USA,1992 Summer,85
USA,1960 Summer,21
USA,2010 Winter,22
USA,1948 Summer,35
USA,1956 Summer,20
USA,1968 Summer,35
USA,1936 Summer,16
USA,1928 Summer,17
USA,2000 Summer,51
USA,2012 Summer,46
USA,1948 Winter,6
USA,1988 Winter,4
USA,1976 Summer,36
USA,1900 Summer,17
USA,1956 Winter,5
USA,2006 Winter,32
USA,1992 Winter,2
USA,2002 Winter,15
USA,1908 Summer,15
USA,1994 Winter,5
USA,1936 Winter,14
USA,1896 Summer,2
USA,1972 Winter,3
USA,1906 Summer,6
USA,1998 Winter,5
USA,1928 Winter,2
USA,1952 Winter,1
USA,1924 Winter,1
USA,1932 Winter,3
USA,1980 Winter,2
USA,1968 Winter,1
USA,1976 Winter,5
FIN,1920 Summer,17
FIN,2014 Winter,24
FIN,1948 Summer,8
FIN,1952 Summer,29
FIN,1932 Summer,16
FIN,1912 Summer,22
FIN,1994 Winter,29
FIN,1928 Summer,9
FIN,2010 Winter,46
FIN,1998 Winter,49
FIN,1924 Summer,15
FIN,1984 Summer,6
FIN,1972 Summer,6
FIN,1992 Winter,6
FIN,1908 Summer,28
FIN,1928 Winter,1
FIN,2008 Summer,2
FIN,1960 Winter,5
FIN,1956 Summer,22
FIN,2002 Winter,1
FIN,1980 Summer,5
FIN,1984 Winter,12
FIN,1936 Summer,13
FIN,1906 Summer,1
FIN,1972 Winter,1
FIN,2012 Summer,4
FIN,1992 Summer,2
FIN,1980 Winter,6
FIN,1988 Winter,5
FIN,1976 Winter,1
FIN,2006 Winter,7
FIN,1948 Winter,2
FIN,1960 Summer,4
FIN,1968 Winter,5
