code,games,participants
CHN,2000 Summer,39
CHN,2012 Summer,56
CHN,2008 Summer,74
CHN,2016 Summer,46
CHN,1988 Summer,6
CHN,2004 Summer,52
CHN,1984 Summer,24
CHN,1992 Summer,18
CHN,1996 Summer,19
CHN,2006 Winter,2
CHN,2014 Winter,3
CHN,2010 Winter,9
CHN,2002 Winter,2
DEN,1900 Summer,4
DEN,1920 Summer,26
DEN,1912 Summer,5
DEN,1906 Summer,14
DEN,1996 Summer,21
DEN,2000 Summer,18
DEN,1948 Summer,7
DEN,2004 Summer,19
DEN,2008 Summer,6
DEN,1968 Summer,5
DEN,1976 Summer,3
DEN,1980 Summer,4
DEN,1992 Summer,3
DEN,1964 Summer,7
DEN,2016 Summer,15
DEN,1988 Summer,3
DEN,1952 Summer,3
DEN,1956 Summer,1
DEN,1960 Summer,2
DEN,1972 Summer,1
DEN,1928 Summer,6
DEN,2012 Summer,3
DEN,1896 Summer,1
DEN,1924 Summer,2
NED,2008 Summer,39
NED,2012 Summer,21
NED,1928 Summer,20
NED,1972 Winter,4
NED,1996 Summer,38
NED,1924 Summer,8
NED,1984 Summer,20
NED,2014 Winter,13
NED,1948 Summer,8
NED,1980 Winter,1
NED,2016 Summer,9
NED,1900 Summer,3
NED,2000 Summer,27
NED,1920 Summer,15
NED,2004 Summer,4
NED,2006 Winter,3
NED,1968 Summer,6
NED,1936 Summer,9
NED,1964 Winter,1
NED,1964 Summer,5
NED,1988 Summer,3
NED,1968 Winter,3
NED,1976 Winter,1
NED,2010 Winter,4
NED,1972 Summer,3
NED,1992 Summer,5
NED,1932 Summer,2
NED,1998 Winter,5
NED,2002 Winter,3
NED,1988 Winter,3
NED,1992 Winter,1
USA,1900 Summer,30
USA,2000 Summer,130
USA,1904 Summer,128
USA,1932 Summer,81
USA,1920 Summer,111
USA,1936 Summer,51
USA,1912 Summer,46
USA,1952 Summer,83
USA,1996 Summer,159
USA,2008 Summer,127
USA,2012 Summer,145
USA,2016 Summer,139
USA,1948 Summer,87
USA,1992 Summer,89
USA,2004 Summer,117
USA,1956 Winter,2
USA,1928 Summer,47
USA,1984 Summer,186
USA,1972 Summer,69
USA,1964 Summer,95
USA,1968 Summer,99
USA,2014 Winter,10
USA,1956 Summer,61
USA,1984 Winter,4
USA,1976 Summer,70
USA,1960 Summer,81
USA,1988 Summer,87
USA,1908 Summer,34
USA,1998 Winter,25
USA,1924 Summer,97
USA,1980 Winter,24
USA,2002 Winter,11
USA,1988 Winter,2
USA,1992 Winter,5
USA,1994 Winter,6
USA,1906 Summer,12
USA,1936 Winter,2
USA,1896 Summer,11
USA,1948 Winter,6
USA,1952 Winter,4
USA,2006 Winter,9
USA,1960 Winter,19
USA,1972 Winter,3
USA,2010 Winter,12
USA,1932 Winter,10
USA,1928 Winter,6
USA,1968 Winter,1
USA,1976 Winter,3
USA,1924 Winter,1
USA,1964 Winter,1
FIN,1948 Summer,17
FIN,1960 Winter,5
FIN,1920 Summer,21
FIN,1924 Summer,24
FIN,1960 Summer,1
FIN,1952 Summer,8
FIN,1928 Summer,8
FIN,1952 Winter,6
FIN,1956 Winter,5
FIN,2000 Summer,3
FIN,1984 Summer,4
FIN,1948 Winter,1
FIN,1936 Summer,8
FIN,1932 Summer,5
FIN,1936 Winter,4
FIN,1906 Summer,2
FIN,2014 Winter,2
FIN,1968 Summer,1
FIN,1964 Winter,3
FIN,1976 Summer,4
FIN,1980 Summer,3
FIN,1984 Winter,4
FIN,1976 Winter,5
FIN,1912 Summer,9
FIN,1992 Summer,1
FIN,1988 Summer,1
FIN,1992 Winter,6
FIN,2002 Winter,7
FIN,1956 Summer,3
FIN,1964 Summer,3
FIN,2008 Summer,1
FIN,1988 Winter,7
FIN,1968 Winter,1
FIN,1998 Winter,2
FIN,1996 Summer,1
FIN,1932 Winter,1
FIN,1924 Winter,4
FIN,1928 Winter,2
FIN,1980 Winter,1
FIN,1972 Summer,3
FIN,1908 Summer,1
NOR,1992 Winter,9
NOR,2002 Winter,23
NOR,2006 Winter,2
NOR,2008 Summer,16
NOR,1960 Winter,3
NOR,1912 Summer,40
NOR,1920 Summer,58
NOR,1994 Winter,8
NOR,1998 Winter,13
NOR,2012 Summer,15
NOR,1968 Summer,4
NOR,1928 Winter,6
NOR,1906 Summer,20
NOR,1952 Winter,7
NOR,1992 Summer,2
NOR,1928 Summer,4
NOR,1968 Winter,11
NOR,1984 Winter,6
NOR,1936 Winter,7
NOR,1948 Summer,3
NOR,1952 Summer,5
NOR,2000 Summer,20
NOR,2010 Winter,16
NOR,2014 Winter,18
NOR,1960 Summer,2
NOR,1924 Summer,14
NOR,1908 Summer,7
NOR,1956 Winter,2
NOR,2004 Summer,5
NOR,1956 Summer,1
NOR,1964 Winter,3
NOR,1904 Summer,2
NOR,1948 Winter,4
NOR,1976 Winter,3
NOR,1932 Winter,3
NOR,1976 Summer,2
NOR,1924 Winter,4
NOR,1988 Summer,2
NOR,1996 Summer,2
NOR,1980 Winter,1
NOR,1972 Summer,2
NOR,1936 Summer,1
NOR,1972 Winter,2
ROU,1984 Summer,40
ROU,1996 Summer,13
ROU,2000 Summer,27
ROU,1988 Summer,8
ROU,1960 Summer,3
ROU,1964 Summer,2
ROU,2004 Summer,23
ROU,1972 Summer,3
ROU,2016 Summer,4
ROU,1976 Summer,4
ROU,1980 Summer,7
ROU,1968 Summer,5
ROU,2008 Summer,5
ROU,1956 Summer,6
ROU,2012 Summer,2
ROU,1992 Summer,8
ROU,1952 Summer,1
EST,2008 Summer,1
EST,1928 Summer,2
EST,1920 Summer,1
EST,2000 Summer,1
EST,1936 Summer,2
EST,1924 Summer,1
EST,1992 Summer,1
EST,2006 Winter,3
EST,2002 Winter,1
FRA,1956 Summer,7
FRA,2008 Summer,25
FRA,2012 Summer,30
FRA,2004 Summer,21
FRA,1948 Summer,26
FRA,1996 Summer,21
FRA,1900 Summer,52
FRA,1988 Summer,12
FRA,1908 Summer,12
FRA,2016 Summer,20
FRA,2000 Summer,22
FRA,2002 Winter,5
FRA,1984 Summer,20
FRA,1932 Summer,26
FRA,2006 Winter,3
FRA,1928 Summer,12
FRA,1968 Summer,12
FRA,1924 Summer,37
FRA,1980 Summer,18
FRA,1952 Summer,14
FRA,1964 Winter,3
FRA,1992 Winter,5
FRA,1912 Summer,10
FRA,1920 Summer,13
FRA,1928 Winter,2
FRA,1932 Winter,2
FRA,2014 Winter,4
FRA,1936 Summer,13
FRA,1998 Winter,2
FRA,1992 Summer,9
FRA,1906 Summer,20
FRA,1976 Summer,5
FRA,1896 Summer,5
FRA,1968 Winter,4
FRA,2010 Winter,2
FRA,1964 Summer,1
FRA,1972 Summer,2
FRA,1948 Winter,2
FRA,1988 Winter,1
FRA,1960 Winter,1
MAR,1984 Summer,2
MAR,1988 Summer,1
MAR,2004 Summer,2
MAR,1992 Summer,1
ESP,1996 Summer,23
ESP,1980 Summer,2
ESP,1992 Summer,48
ESP,2012 Summer,5
ESP,1928 Summer,3
ESP,2016 Summer,9
