code,games,participants

CHN,2016 Summer,295

CHN,1996 Summer,259

CHN,2000 Summer,255

CHN,1984 Summer,123

CHN,2012 Summer,267

CHN,2004 Summer,317

CHN,1992 Summer,205

CHN,2008 Summer,354

CHN,1980 Winter,16

CHN,1984 Winter,31

CHN,2010 Winter,83

CHN,2014 Winter,66

CHN,1988 Summer,194

CHN,1948 Summer,1

CHN,1998 Winter,61

CHN,2002 Winter,73

CHN,1992 Winter,47

CHN,1994 Winter,31

CHN,2006 Winter,81

CHN,1988 Winter,8

CHN,1936 Summer,3

DEN,1928 Summer,12

DEN,1992 Summer,54

DEN,1996 Summer,80

DEN,2016 Summer,61

DEN,2000 Summer,56

DEN,1948 Summer,29

DEN,1952 Summer,20

DEN,1960 Summer,13

DEN,1964 Summer,10

DEN,1976 Summer,13

DEN,1936 Summer,21

DEN,2004 Summer,56

DEN,1932 Summer,22

DEN,2012 Summer,73

DEN,1924 Summer,19

DEN,1998 Winter,8

DEN,2002 Winter,6

DEN,1920 Summer,7

DEN,1968 Winter,2

DEN,1912 Summer,2

DEN,1984 Summer,13

DEN,1988 Summer,40

DEN,2006 Winter,4

DEN,2010 Winter,10

DEN,1972 Summer,18

DEN,2014 Winter,4

DEN,2008 Summer,32

DEN,1956 Summer,8

DEN,1968 Summer,10

DEN,1980 Summer,4

DEN,1992 Winter,3

NED,1988 Winter,12

NED,1992 Winter,22

NED,1994 Winter,20

NED,1932 Summer,25

NED,1988 Summer,85

NED,2016 Summer,176

NED,1976 Summer,86

NED,2012 Summer,105

NED,1968 Summer,43

NED,1924 Summer,15

NED,1928 Summer,55

NED,2008 Summer,123

NED,1972 Summer,85

NED,1996 Summer,128

NED,2000 Summer,109

NED,2004 Summer,105

NED,1968 Winter,12

NED,1972 Winter,13

NED,1980 Summer,29

NED,1984 Summer,85

NED,1992 Summer,122

NED,1920 Summer,1

NED,2014 Winter,41

NED,1964 Summer,31

NED,1960 Summer,69

NED,1936 Summer,32

NED,1948 Summer,46

NED,1952 Summer,87

NED,2010 Winter,35

NED,1984 Winter,12

NED,1976 Winter,13

NED,1980 Winter,12

NED,2002 Winter,22

NED,2006 Winter,30

NED,1964 Winter,4

NED,1998 Winter,27

NED,1956 Winter,2

NED,1960 Winter,2

NED,1952 Winter,2

NED,1936 Winter,1

USA,2016 Summer,369

USA,1900 Summer,9

USA,2008 Summer,366

USA,2004 Summer,340

USA,1996 Summer,361

USA,2000 Summer,340

USA,2012 Summer,343

USA,1972 Summer,155

USA,1992 Summer,280

USA,1952 Winter,17

USA,1956 Winter,17

USA,1952 Summer,99

USA,1920 Summer,22

USA,1980 Winter,45

USA,1968 Winter,32

USA,1964 Summer,136

USA,1984 Summer,256

USA,1960 Winter,29

USA,2014 Winter,158

USA,1992 Winter,87

USA,1956 Summer,98

USA,1960 Summer,102

USA,1936 Summer,58

USA,1984 Winter,49

USA,1988 Winter,64

USA,1976 Summer,182

USA,2010 Winter,145

USA,1988 Summer,284

USA,1964 Winter,31

USA,1968 Summer,152

USA,1976 Winter,46

USA,2002 Winter,135

USA,2006 Winter,138

USA,1994 Winter,89

USA,1998 Winter,126

USA,1948 Summer,58

USA,1928 Summer,54

USA,1924 Summer,35

USA,1932 Summer,124

USA,1932 Winter,6

USA,1936 Winter,10

USA,1972 Winter,43

USA,1904 Summer,16

USA,1948 Winter,19

USA,1924 Winter,3

USA,1928 Winter,5

FIN,1996 Summer,45

FIN,2000 Summer,37

FIN,1994 Winter,32

FIN,2002 Winter,63

FIN,1992 Summer,40

FIN,1988 Summer,28

FIN,1980 Winter,18

FIN,1952 Summer,88

FIN,1960 Summer,40

FIN,2016 Summer,33

FIN,1998 Winter,48

FIN,1988 Winter,18

FIN,1972 Summer,18

FIN,1976 Summer,11

FIN,2014 Winter,52

FIN,2012 Summer,37

FIN,1956 Summer,1

FIN,1936 Summer,10

FIN,2008 Summer,32

FIN,2006 Winter,47

FIN,1968 Summer,12

FIN,1976 Winter,21

FIN,2004 Summer,23

FIN,1984 Summer,17

FIN,2010 Winter,53

FIN,1952 Winter,5

FIN,1956 Winter,7

FIN,1960 Winter,15

FIN,1984 Winter,16

FIN,1920 Summer,1

FIN,1924 Winter,1

FIN,1928 Winter,1

FIN,1948 Summer,7

FIN,1912 Summer,2

FIN,1980 Summer,6

FIN,1964 Summer,13

FIN,1968 Winter,23

FIN,1972 Winter,18

FIN,1992 Winter,32

FIN,1964 Winter,19

FIN,1928 Summer,2

NOR,2008 Summer,59

NOR,1984 Winter,22

NOR,1996 Summer,62

NOR,2016 Summer,37

NOR,2012 Summer,32

NOR,2000 Summer,54

NOR,1992 Summer,42

NOR,1988 Summer,29

NOR,1972 Summer,42

NOR,1976 Summer,6

NOR,1984 Summer,27

NOR,1994 Winter,48

NOR,1998 Winter,62

NOR,2002 Winter,56

NOR,2006 Winter,56

NOR,1952 Summer,19

NOR,1952 Winter,19

NOR,1968 Winter,26

NOR,1972 Winter,33

NOR,1976 Winter,20

NOR,1980 Winter,20

NOR,1936 Winter,6

NOR,1948 Summer,6

NOR,1992 Winter,53

NOR,1920 Summer,6

NOR,2010 Winter,55

NOR,2014 Winter,77

NOR,1964 Summer,3

