code,games,participants

CHN,1996 Summer,76

CHN,1984 Summer,47

CHN,2008 Summer,128

CHN,2012 Summer,73

CHN,1988 Summer,38

CHN,2004 Summer,64

CHN,1994 Winter,3

CHN,1998 Winter,8

CHN,2016 Summer,75

CHN,2000 Summer,44

CHN,1992 Summer,56

CHN,2014 Winter,5

CHN,2010 Winter,16

CHN,2006 Winter,9

CHN,1992 Winter,3

CHN,2002 Winter,9

DEN,1996 Summer,17

DEN,2016 Summer,14

DEN,2000 Summer,16

DEN,1948 Summer,12

DEN,2004 Summer,20

DEN,1998 Winter,5

DEN,1912 Summer,1

DEN,1920 Summer,1

DEN,2012 Summer,2

DEN,1984 Summer,6

DEN,2008 Summer,3

DEN,1952 Summer,2

DEN,1956 Summer,2

DEN,1924 Summer,2

DEN,1936 Summer,2

DEN,1932 Summer,1

DEN,1980 Summer,1

NED,1988 Summer,24

NED,2012 Summer,42

NED,2016 Summer,31

NED,2008 Summer,57

NED,1928 Summer,15

NED,2000 Summer,46

NED,1968 Winter,5

NED,1972 Winter,5

NED,1992 Summer,9

NED,1996 Summer,29

NED,1984 Summer,39

NED,1964 Summer,10

NED,1948 Summer,14

NED,2014 Winter,13

NED,2004 Summer,41

NED,1980 Winter,2

NED,1924 Summer,1

NED,1976 Summer,2

NED,1952 Summer,7

NED,1980 Summer,4

NED,1976 Winter,1

NED,1932 Summer,5

NED,1936 Summer,8

NED,1960 Winter,1

NED,1964 Winter,1

NED,2010 Winter,4

NED,1968 Summer,2

NED,2002 Winter,2

NED,2006 Winter,4

NED,1960 Summer,2

NED,1972 Summer,1

NED,1998 Winter,2

NED,1988 Winter,3

USA,1900 Summer,5

USA,2008 Summer,162

USA,2004 Summer,146

USA,2016 Summer,149

USA,1992 Summer,101

USA,1996 Summer,127

USA,2012 Summer,160

USA,1952 Winter,4

USA,1956 Winter,2

USA,1952 Summer,15

USA,1964 Summer,43

USA,2000 Summer,124

USA,1984 Summer,140

USA,2014 Winter,39

USA,1984 Winter,4

USA,1988 Summer,67

USA,1960 Winter,7

USA,1972 Summer,39

USA,1976 Summer,53

USA,2002 Winter,31

USA,2010 Winter,38

USA,1968 Summer,46

USA,1998 Winter,27

USA,1948 Summer,22

USA,1924 Summer,23

USA,1928 Summer,22

USA,2006 Winter,29

USA,1988 Winter,4

USA,1992 Winter,12

USA,1994 Winter,12

USA,1936 Summer,17

USA,1920 Summer,14

USA,1960 Summer,28

USA,1956 Summer,23

USA,1932 Summer,28

USA,1972 Winter,7

USA,1904 Summer,10

USA,1968 Winter,5

USA,1948 Winter,2

USA,1980 Winter,4

USA,1976 Winter,7

USA,1964 Winter,3

USA,1924 Winter,1

USA,1928 Winter,1

USA,1932 Winter,2

FIN,1998 Winter,20

FIN,2010 Winter,24

FIN,1952 Winter,3

FIN,1956 Winter,3

FIN,1960 Winter,4

FIN,1984 Winter,7

FIN,1920 Summer,1

FIN,1924 Winter,1

FIN,1972 Winter,5

FIN,1976 Winter,6

FIN,2012 Summer,4

FIN,1988 Winter,6

FIN,1994 Winter,2

FIN,1980 Winter,3

FIN,2006 Winter,3

FIN,2014 Winter,7

FIN,1964 Winter,6

FIN,1984 Summer,1

FIN,2008 Summer,3

FIN,1980 Summer,1

FIN,1968 Winter,2

FIN,1948 Summer,2

FIN,2016 Summer,1

FIN,1996 Summer,1

FIN,1992 Winter,2

FIN,1952 Summer,1

NOR,2008 Summer,17

NOR,1996 Summer,17

NOR,2012 Summer,14

NOR,2016 Summer,14

NOR,1988 Summer,14

NOR,1992 Summer,15

NOR,1984 Summer,1

NOR,1998 Winter,12

NOR,2002 Winter,13

NOR,1968 Winter,5

NOR,1972 Winter,3

NOR,1980 Winter,5

NOR,1984 Winter,7

NOR,2000 Summer,35

NOR,2010 Winter,10

NOR,2014 Winter,18

NOR,1912 Summer,1

NOR,2006 Winter,4

NOR,1920 Summer,1

NOR,2004 Summer,2

NOR,1988 Winter,4

NOR,1992 Winter,5

NOR,1994 Winter,7

NOR,1928 Winter,1

NOR,1932 Winter,1

NOR,1936 Winter,2

NOR,1976 Winter,1

NOR,1952 Summer,1

ROU,2008 Summer,21

ROU,1976 Summer,17

ROU,1984 Summer,58

ROU,1996 Summer,29

ROU,2000 Summer,37

ROU,1988 Summer,45

ROU,1980 Summer,25

ROU,1992 Summer,32

ROU,1960 Summer,9

ROU,1964 Summer,6

ROU,2004 Summer,27

ROU,2016 Summer,13

ROU,1972 Summer,8

ROU,2012 Summer,10

ROU,1968 Summer,10

ROU,1956 Summer,8

EST,1992 Summer,1

EST,2006 Winter,2

EST,2010 Winter,1

FRA,2016 Summer,28

FRA,1998 Winter,3

FRA,2002 Winter,6

FRA,2010 Winter,8

FRA,2008 Summer,10

FRA,2004 Summer,22

FRA,2006 Winter,6

FRA,1996 Summer,19

FRA,2000 Summer,13

FRA,2012 Summer,31

FRA,1968 Summer,2

FRA,1980 Summer,6

FRA,1992 Winter,6

FRA,1994 Winter,5

FRA,1912 Summer,2

FRA,1920 Summer,5

FRA,1984 Summer,7

FRA,1924 Winter,1

FRA,1928 Winter,1

FRA,1932 Winter,1

FRA,1964 Summer,3

FRA,1972 Winter,2

FRA,1976 Winter,1

FRA,1906 Summer,1

FRA,1952 Winter,1

FRA,1968 Winter,4

FRA,1992 Summer,7

FRA,1976 Summer,5

FRA,1956 Summer,1

FRA,1964 Winter,4

FRA,1928 Summer,1

FRA,2014 Winter,3

FRA,1948 Summer,4

FRA,1952 Summer,1

FRA,1988 Summer,2

FRA,1980 Winter,1

FRA,1984 Winter,2

FRA,1900 Summer,2

FRA,1924 Summer,1

MAR,2004 Summer,1

MAR,2008 Summer,1

MAR,2000 Summer,1

MAR,1984 Summer,1

ESP,2012 Summer,46

ESP,2016 Summer,24

ESP,2004 Summer,8

ESP,1996 Summer,13

ESP,1992 Summer,24

ESP,2008 Summer,13

ESP,2000 Summer,4

ESP,1992 Winter,1

EGY,2016 Summer,2

IRI,2016 Summer,1

BUL,1980 Summer,36

BUL,1988 Summer,22

BUL,1972 Summer,4

BUL,1976 Summer,25

BUL,1998 Winter,1

BUL,1996 Summer,9

BUL,2016 Summer,7

BUL,1992 Summer,5

BUL,2000 Summer,3

BUL,2004 Summer,9

BUL,2008 Summer,2

BUL,2002 Winter,3

BUL,2006 Winter,1

BUL,2012 Summer,1

ITA,2016 Summer,23

ITA,2004 Summer,26

ITA,1928 Summer,12

ITA,1996 Summer,17

ITA,2000 Summer,13

ITA,1992 Winter,7

ITA,1994 Winter,13

ITA,1998 Winter,7

ITA,2002 Winter,9

ITA,1992 Summer,7

ITA,2012 Summer,16

ITA,1988 Summer,5

ITA,2008 Summer,14

ITA,1972 Summer,5

ITA,1952 Summer,1

ITA,1960 Summer,6

ITA,2006 Winter,10

ITA,1980 Summer,3

ITA,1952 Winter,1

ITA,1960 Winter,1

ITA,1976 Summer,2

ITA,1948 Summer,2

ITA,1984 Summer,4

ITA,2010 Winter,1

ITA,2014 Winter,9

ITA,1976 Winter,1

ITA,1968 Winter,1

ITA,1984 Winter,1

ITA,1964 Summer,1

ITA,1936 Summer,1

AZE,2016 Summer,4

AZE,2004 Summer,2

AZE,2000 Summer,1

AZE,2012 Summer,2

AZE,2008 Summer,1

RUS,2008 Summer,82

RUS,2004 Summer,91

RUS,2006 Winter,23

RUS,2012 Summer,72

RUS,1998 Winter,20

RUS,2002 Winter,11

RUS,2000 Summer,89

RUS,1996 Summer,31

RUS,2016 Summer,82

RUS,1994 Winter,20

RUS,2014 Winter,23

RUS,2010 Winter,9

ARG,2000 Summer,17

ARG,2004 Summer,19

ARG,2008 Summer,17

ARG,2012 Summer,15

ARG,1936 Summer,1

ARG,2016 Summer,2

ARG,1988 Summer,1

ARG,1948 Summer,1

CUB,2000 Summer,14

CUB,2008 Summer,9

CUB,2004 Summer,22

CUB,1992 Summer,17

CUB,1996 Summer,16

CUB,2012 Summer,3

CUB,2016 Summer,2

CUB,1972 Summer,5

CUB,1968 Summer,4

CUB,1980 Summer,1

BLR,2000 Summer,13

BLR,2012 Summer,17

BLR,2008 Summer,14

BLR,2004 Summer,7

BLR,1996 Summer,12

BLR,2010 Winter,1

BLR,2014 Winter,5

BLR,2016 Summer,7

BLR,1994 Winter,1

GRE,2000 Summer,10

GRE,2004 Summer,21

GRE,1996 Summer,1

GRE,2008 Summer,4

GRE,2012 Summer,2

GRE,2016 Summer,3

GRE,1906 Summer,5

GRE,1992 Summer,1

CMR,2004 Summer,1

CMR,2008 Summer,1

TUR,2008 Summer,3

TUR,2000 Summer,1

TUR,2012 Summer,3

TUR,1992 Summer,1

TUR,2016 Summer,1

TUR,2004 Summer,1

CHI,1956 Summer,1

MEX,2012 Summer,6

MEX,2008 Summer,3

MEX,2016 Summer,2

MEX,2004 Summer,3

MEX,2000 Summer,1

MEX,1968 Summer,2

URS,1964 Summer,49

URS,1968 Winter,9

URS,1980 Summer,139

URS,1976 Summer,104

URS,1980 Winter,13

URS,1976 Winter,16

URS,1988 Summer,88

URS,1956 Summer,29

URS,1960 Summer,39

URS,1952 Summer,37

URS,1964 Winter,18

URS,1984 Winter,10

URS,1988 Winter,15

URS,1972 Summer,45

URS,1968 Summer,48

URS,1960 Winter,12

URS,1956 Winter,6

URS,1972 Winter,10

HUN,1964 Summer,9

HUN,1976 Summer,24

HUN,1948 Summer,12

HUN,2000 Summer,25

HUN,1960 Summer,7

HUN,1972 Summer,15

HUN,1952 Summer,34

HUN,1956 Summer,18

HUN,1932 Summer,1

HUN,2004 Summer,11

HUN,1936 Summer,10

HUN,2012 Summer,10

HUN,2016 Summer,14

HUN,1992 Summer,13

HUN,1968 Summer,11

HUN,2008 Summer,7

HUN,1988 Summer,11

HUN,1996 Summer,21

HUN,1948 Winter,1

HUN,1980 Summer,8

HUN,1952 Winter,1

HUN,1956 Winter,1

HUN,1980 Winter,1

HUN,1932 Winter,1

HUN,1936 Winter,1

NGR,1996 Summer,7

NGR,2000 Summer,2

NGR,1992 Summer,4

NGR,2008 Summer,6

ALG,1992 Summer,1

ALG,2008 Summer,1

ALG,2000 Summer,1

BRN,2012 Summer,1

BRN,2016 Summer,2

MAS,2016 Summer,3

MAS,2012 Summer,1

GER,1992 Summer,85

GER,2008 Summer,44

GER,2006 Winter,27

GER,2010 Winter,29

GER,1998 Winter,25

GER,2002 Winter,29

GER,1996 Summer,48

GER,2004 Summer,74

GER,2012 Summer,27

GER,2016 Summer,68

GER,1994 Winter,14

GER,1936 Summer,24

GER,2000 Summer,58

GER,1992 Winter,16

GER,1960 Winter,5

GER,1960 Summer,25

GER,2014 Winter,14

GER,1964 Summer,13

GER,1932 Summer,2

GER,1952 Winter,5

GER,1936 Winter,3

GER,1912 Summer,6

GER,1964 Winter,3

GER,1956 Summer,11

GER,1928 Summer,10

GER,1908 Summer,2

GER,1952 Summer,7

GER,1956 Winter,1

CAN,1984 Summer,37

CAN,2012 Summer,38

CAN,2006 Winter,48

CAN,2010 Winter,44

CAN,2014 Winter,42

CAN,1996 Summer,31

CAN,2000 Summer,23

CAN,1976 Summer,15

CAN,2002 Winter,37

CAN,1994 Winter,9

CAN,1998 Winter,33

CAN,1992 Summer,20

CAN,2016 Summer,59

CAN,1992 Winter,7

CAN,1928 Summer,7

CAN,1936 Summer,5

CAN,2004 Summer,7

CAN,1964 Winter,2

CAN,1988 Summer,13

CAN,2008 Summer,9

CAN,1972 Summer,2

CAN,1968 Summer,6

CAN,1956 Winter,2

CAN,1932 Summer,6

CAN,1948 Summer,4

CAN,1968 Winter,2

CAN,1960 Winter,2

CAN,1976 Winter,2

CAN,1956 Summer,1

CAN,1972 Winter,1

CAN,1988 Winter,4

CAN,1948 Winter,2

IRL,1948 Summer,1

IRL,2016 Summer,1

IRL,2000 Summer,1

IRL,1996 Summer,4

IRL,2012 Summer,1

AUS,2000 Summer,89

AUS,2004 Summer,62

AUS,2008 Summer,85

AUS,1964 Summer,11

AUS,1960 Summer,15

AUS,1996 Summer,72

AUS,2016 Summer,39

AUS,2012 Summer,65

AUS,1988 Summer,21

AUS,1968 Summer,11

AUS,1972 Summer,10

AUS,1984 Summer,11

AUS,2010 Winter,2

AUS,2014 Winter,2

AUS,2002 Winter,1

AUS,2006 Winter,1

AUS,1992 Summer,12

AUS,1956 Summer,21

AUS,1948 Summer,8

AUS,1932 Summer,2

AUS,1980 Summer,2

AUS,1952 Summer,4

AUS,1998 Winter,1

