code,games,participants

CHN,1984 Summer,32

CHN,1996 Summer,11

CHN,1994 Winter,2

CHN,1998 Winter,1

CHN,2008 Summer,46

CHN,1988 Summer,23

CHN,2016 Summer,22

CHN,2000 Summer,12

CHN,2004 Summer,10

CHN,2012 Summer,13

CHN,1992 Summer,10

CHN,2010 Winter,6

CHN,2006 Winter,4

CHN,2002 Winter,3

DEN,2016 Summer,9

DEN,1948 Summer,2

DEN,1984 Summer,5

DEN,2008 Summer,3

DEN,1996 Summer,1

DEN,1924 Summer,1

DEN,1932 Summer,1

DEN,2004 Summer,5

DEN,1952 Summer,1

DEN,1980 Summer,1

DEN,2012 Summer,1

DEN,1956 Summer,1

DEN,1936 Summer,1

NED,1988 Summer,18

NED,2012 Summer,16

NED,1968 Winter,2

NED,1964 Summer,4

NED,2014 Winter,4

NED,2000 Summer,16

NED,2008 Summer,2

NED,1924 Summer,1

NED,1976 Summer,2

NED,1984 Summer,13

NED,2004 Summer,19

NED,1996 Summer,23

NED,1980 Summer,4

NED,1992 Summer,4

NED,1968 Summer,1

NED,1948 Summer,5

NED,1972 Winter,2

NED,1960 Summer,1

NED,1928 Summer,1

NED,2016 Summer,2

NED,2010 Winter,1

NED,2006 Winter,1

USA,2016 Summer,35

USA,1952 Summer,7

USA,1984 Summer,24

USA,1960 Winter,3

USA,1972 Summer,6

USA,2010 Winter,10

USA,1948 Summer,10

USA,1968 Summer,10

USA,2004 Summer,39

USA,2000 Summer,30

USA,1996 Summer,11

USA,2012 Summer,27

USA,1988 Winter,3

USA,1976 Summer,17

USA,1992 Summer,50

USA,1936 Summer,8

USA,1960 Summer,1

USA,2008 Summer,23

USA,2006 Winter,21

USA,1994 Winter,5

USA,2014 Winter,10

USA,1928 Summer,3

USA,1972 Winter,3

USA,1956 Summer,7

USA,1964 Summer,7

USA,1998 Winter,2

USA,1924 Summer,4

USA,1932 Summer,4

USA,1988 Summer,17

USA,1980 Winter,1

USA,1968 Winter,1

USA,1900 Summer,3

USA,1964 Winter,2

USA,1992 Winter,1

USA,2002 Winter,3

USA,1928 Winter,1

USA,1976 Winter,3

USA,1920 Summer,4

USA,1904 Summer,2

USA,1932 Winter,1

FIN,1998 Winter,20

FIN,2010 Winter,24

FIN,1960 Winter,4

FIN,1984 Winter,4

FIN,1972 Winter,1

FIN,2012 Summer,3

FIN,1988 Winter,5

FIN,1994 Winter,2

FIN,1980 Winter,1

FIN,2006 Winter,2

FIN,1964 Winter,4

FIN,1980 Summer,1

FIN,2016 Summer,1

FIN,1952 Winter,1

NOR,1996 Summer,17

NOR,2016 Summer,14

NOR,1998 Winter,7

NOR,1968 Winter,1

NOR,1972 Winter,3

NOR,1980 Winter,4

NOR,2014 Winter,8

NOR,1912 Summer,1

NOR,2010 Winter,1

NOR,2006 Winter,2

NOR,2000 Summer,15

NOR,1992 Winter,1

NOR,1984 Winter,2

NOR,1976 Winter,1

NOR,1994 Winter,1

NOR,2002 Winter,2

NOR,1936 Winter,1

NOR,2008 Summer,1

ROU,2008 Summer,15

ROU,1976 Summer,7

ROU,1984 Summer,7

ROU,1996 Summer,10

ROU,2000 Summer,9

ROU,1988 Summer,15

ROU,1980 Summer,14

ROU,2016 Summer,9

ROU,1992 Summer,7

ROU,2012 Summer,5

ROU,2004 Summer,2

ROU,1968 Summer,6

ROU,1972 Summer,6

ROU,1956 Summer,7

ROU,1960 Summer,8

ROU,1964 Summer,3

FRA,1998 Winter,2

FRA,2008 Summer,7

FRA,2004 Summer,13

FRA,2006 Winter,5

FRA,2012 Summer,12

FRA,2000 Summer,5

FRA,1994 Winter,4

FRA,1912 Summer,1

FRA,1984 Summer,7

FRA,2010 Winter,3

FRA,1924 Winter,1

FRA,1996 Summer,6

FRA,1920 Summer,2

FRA,1976 Winter,1

FRA,2016 Summer,2

