code,games,participants

CHN,2008 Summer,40

CHN,1988 Summer,3

CHN,2004 Summer,36

CHN,2012 Summer,29

CHN,2016 Summer,30

CHN,2000 Summer,20

CHN,1992 Summer,13

CHN,1996 Summer,11

CHN,1984 Summer,14

CHN,2014 Winter,3

CHN,2010 Winter,8

CHN,2006 Winter,1

CHN,2002 Winter,2

DEN,1996 Summer,16

DEN,2000 Summer,15

DEN,1948 Summer,3

DEN,2004 Summer,15

DEN,2016 Summer,1

DEN,1920 Summer,1

DEN,1924 Summer,1

NED,2008 Summer,38

NED,2012 Summer,19

NED,1928 Summer,11

NED,1972 Winter,1

NED,1984 Summer,19

NED,1948 Summer,8

NED,1980 Winter,1

NED,2016 Summer,7

NED,2000 Summer,7

NED,2004 Summer,3

NED,1936 Summer,7

NED,1964 Winter,1

NED,1968 Winter,2

NED,1988 Summer,1

NED,1968 Summer,1

NED,2014 Winter,6

NED,2010 Winter,2

NED,1998 Winter,2

NED,2006 Winter,2

NED,1988 Winter,3

NED,1992 Summer,1

USA,1900 Summer,1

USA,1992 Summer,32

USA,1996 Summer,100

USA,2016 Summer,85

USA,1956 Winter,1

USA,1964 Summer,23

USA,2000 Summer,62

USA,2012 Summer,103

USA,2014 Winter,5

USA,1984 Summer,71

USA,1984 Winter,1

USA,2008 Summer,58

USA,1988 Summer,29

USA,1972 Summer,23

USA,1976 Summer,8

USA,1968 Summer,28

USA,1998 Winter,23

USA,2002 Winter,6

USA,1924 Summer,13

USA,2004 Summer,65

USA,1928 Summer,11

USA,1988 Winter,1

USA,1992 Winter,5

USA,1994 Winter,4

USA,1936 Summer,7

USA,1920 Summer,7

USA,1960 Summer,24

USA,1932 Summer,17

USA,1948 Summer,8

USA,1972 Winter,3

USA,1952 Summer,7

USA,1968 Winter,1

USA,1948 Winter,1

USA,1976 Winter,2

USA,1960 Winter,1

USA,1904 Summer,6

USA,2010 Winter,2

USA,2006 Winter,2

USA,1956 Summer,4

USA,1952 Winter,2

FIN,1956 Winter,3

FIN,1920 Summer,1

FIN,1984 Winter,3

FIN,1976 Winter,1

FIN,2008 Summer,1

FIN,1988 Winter,1

FIN,1968 Winter,1

FIN,1996 Summer,1

FIN,1992 Winter,1

FIN,1952 Summer,1

FIN,1948 Summer,1

FIN,1952 Winter,1

NOR,2008 Summer,14

NOR,2012 Summer,14

NOR,1992 Summer,1

NOR,1968 Winter,3

NOR,1984 Winter,4

NOR,2000 Summer,18

NOR,2010 Winter,7

NOR,2014 Winter,7

NOR,2004 Summer,2

NOR,1994 Winter,1

NOR,1928 Winter,1

NOR,1932 Winter,1

NOR,1936 Winter,1

NOR,1980 Winter,1

NOR,2002 Winter,2

ROU,1984 Summer,32

ROU,1996 Summer,13

ROU,2000 Summer,23

ROU,1988 Summer,6

ROU,1960 Summer,1

ROU,1964 Summer,2

ROU,2004 Summer,23

ROU,2016 Summer,4

ROU,1976 Summer,3

ROU,1980 Summer,3

ROU,2008 Summer,5

ROU,2012 Summer,1

ROU,1968 Summer,2

ROU,1992 Summer,3

EST,1992 Summer,1

EST,2006 Winter,2

FRA,2016 Summer,4

FRA,2002 Winter,3

FRA,1996 Summer,10

FRA,2000 Summer,3

FRA,2006 Winter,1

FRA,1968 Summer,1

FRA,1980 Summer,6

FRA,2012 Summer,4

FRA,1992 Winter,3

FRA,1912 Summer,1

FRA,1928 Winter,1

FRA,1932 Winter,1

FRA,2008 Summer,1

FRA,1906 Summer,1

FRA,1992 Summer,3

FRA,1964 Winter,2

FRA,1968 Winter,1

FRA,1928 Summer,1

FRA,2004 Summer,3

FRA,1920 Summer,2

FRA,1948 Summer,2

FRA,1998 Winter,1

MAR,1984 Summer,1

ESP,2012 Summer,4

ESP,1996 Summer,8

ESP,1992 Summer,19

ESP,2016 Summer,4

ESP,2000 Summer,1

BUL,1988 Summer,3

BUL,1998 Winter,1

BUL,2008 Summer,1

BUL,2000 Summer,2

BUL,2004 Summer,1

BUL,1976 Summer,5

BUL,1996 Summer,1

ITA,2004 Summer,14

ITA,2016 Summer,1

ITA,1996 Summer,5

ITA,2000 Summer,8

ITA,1992 Winter,2

ITA,2002 Winter,3

ITA,1992 Summer,6

ITA,2008 Summer,4

ITA,1952 Summer,1

ITA,1994 Winter,4

ITA,1998 Winter,1

ITA,2012 Summer,6

ITA,1984 Summer,1

ITA,1968 Winter,1

ITA,1984 Winter,1

ITA,1972 Summer,1

ITA,1980 Summer,1

ITA,1936 Summer,1

AZE,2000 Summer,1

RUS,2006 Winter,12

RUS,2008 Summer,31

RUS,2012 Summer,26

RUS,2000 Summer,29

RUS,2004 Summer,29

RUS,1994 Winter,13

RUS,2002 Winter,3

RUS,2016 Summer,41

RUS,2014 Winter,7

RUS,2010 Winter,4

RUS,1998 Winter,11

RUS,1996 Summer,6

ARG,2016 Summer,2

CUB,2000 Summer,10

CUB,1992 Summer,12

CUB,1996 Summer,11

CUB,1980 Summer,1

CUB,2004 Summer,2

CUB,2012 Summer,1

BLR,2012 Summer,1

BLR,2014 Winter,4

BLR,1996 Summer,1

BLR,2000 Summer,3

BLR,2008 Summer,1

BLR,2004 Summer,1

GRE,2004 Summer,4

GRE,2016 Summer,2

GRE,1992 Summer,1

GRE,1906 Summer,1

CMR,2004 Summer,1

CMR,2008 Summer,1

TUR,2012 Summer,1

TUR,2004 Summer,1

MEX,2008 Summer,1

MEX,2000 Summer,1

URS,1980 Summer,63

URS,1976 Winter,10

URS,1956 Summer,12

URS,1960 Summer,25

URS,1964 Summer,13

URS,1988 Summer,33

URS,1976 Summer,45

URS,1964 Winter,10

URS,1968 Winter,2

URS,1988 Winter,8

URS,1952 Summer,13

URS,1972 Summer,33

URS,1968 Summer,26

URS,1960 Winter,4

URS,1956 Winter,1

URS,1972 Winter,6

URS,1980 Winter,5

URS,1984 Winter,1

HUN,1964 Summer,6

HUN,1956 Summer,9

HUN,1936 Summer,2

HUN,2016 Summer,11

HUN,1992 Summer,8

HUN,2004 Summer,6

HUN,2008 Summer,2

HUN,1988 Summer,1

HUN,1996 Summer,2

HUN,1948 Summer,2

HUN,2012 Summer,6

HUN,1952 Summer,10

HUN,2000 Summer,2

HUN,1968 Summer,1

HUN,1976 Summer,1

NGR,1996 Summer,1

ALG,1992 Summer,1

ALG,2000 Summer,1

BRN,2016 Summer,1

GER,2006 Winter,9

GER,2010 Winter,12

GER,1998 Winter,11

GER,2002 Winter,14

GER,2012 Summer,6

GER,2004 Summer,29

GER,2016 Summer,29

GER,1936 Summer,10

GER,1960 Winter,2

GER,1992 Winter,4

GER,1992 Summer,19

GER,1996 Summer,13

GER,2000 Summer,17

GER,2008 Summer,13

GER,1936 Winter,2

GER,1964 Winter,1

GER,1964 Summer,4

GER,1952 Winter,1

GER,2014 Winter,4

GER,1960 Summer,3

GER,1956 Summer,1

GER,1908 Summer,1

GER,1912 Summer,1

GER,1928 Summer,3

GER,1994 Winter,2

GER,1956 Winter,1

CAN,2006 Winter,24

CAN,2010 Winter,27

CAN,2014 Winter,29

CAN,2002 Winter,23

CAN,1992 Summer,16

CAN,1994 Winter,2

CAN,1928 Summer,5

CAN,1984 Summer,4

CAN,1998 Winter,7

CAN,1988 Summer,3

CAN,1992 Winter,5

CAN,1968 Winter,1

CAN,1996 Summer,2

CAN,1960 Winter,2

CAN,2008 Summer,1

CAN,1976 Winter,1

CAN,2012 Summer,1

CAN,2016 Summer,3

CAN,2004 Summer,1

CAN,1948 Winter,1

IRL,1996 Summer,3

IRL,2012 Summer,1

AUS,2000 Summer,36

AUS,1996 Summer,21

AUS,2008 Summer,22

AUS,2004 Summer,18

AUS,2016 Summer,20

AUS,1988 Summer,17

AUS,2010 Winter,2

AUS,1968 Summer,2

AUS,2012 Summer,9

AUS,2002 Winter,1

AUS,1956 Summer,15

AUS,1964 Summer,2

AUS,1932 Summer,1

AUS,1980 Summer,1

AUS,1960 Summer,1

AUS,1972 Summer,5

AUS,1952 Summer,3

AUS,1984 Summer,1

AUS,1992 Summer,2

RSA,1952 Summer,2

RSA,1996 Summer,2

RSA,2016 Summer,1

BEL,2008 Summer,1

BEL,2004 Summer,1

BEL,1948 Winter,1

BEL,2016 Summer,1

BEL,1996 Summer,1

KAZ,2012 Summer,4

KAZ,2000 Summer,1

SYR,1996 Summer,1

ETH,2016 Summer,1

ETH,2004 Summer,1

ETH,2012 Summer,3

ETH,2008 Summer,2

ETH,1996 Summer,1

ETH,1992 Summer,1

ETH,2000 Summer,1

INA,2016 Summer,1

INA,1992 Summer,1

UZB,1994 Winter,1

EUN,1992 Summer,33

EUN,1992 Winter,9

JPN,2004 Summer,9

JPN,1972 Summer,1

JPN,2006 Winter,1

JPN,1976 Summer,12

JPN,2016 Summer,8

JPN,2008 Summer,19

JPN,1996 Summer,1

JPN,1964 Summer,12

JPN,2012 Summer,4

JPN,1992 Summer,1

JPN,1936 Summer,1

JPN,1998 Winter,1

JPN,2000 Summer,2

SUI,1956 Winter,2

SUI,1900 Summer,1

SUI,1936 Summer,1

SUI,1984 Winter,1

SUI,2006 Winter,4

SUI,2014 Winter,2

SUI,2000 Summer,1

SUI,1972 Winter,2

SUI,1960 Winter,1

SUI,1948 Winter,1

SUI,1988 Winter,2

SUI,1994 Winter,1

SUI,2012 Summer,1

SUI,1976 Summer,1

BRA,2012 Summer,13

BRA,2008 Summer,13

BRA,2016 Summer,3

BRA,1996 Summer,2

FRG,1988 Summer,12

FRG,1984 Summer,7

FRG,1968 Summer,4

FRG,1972 Summer,8

FRG,1972 Winter,1

FRG,1976 Summer,2

FRG,1988 Winter,1

FRG,1976 Winter,2

GDR,1976 Summer,53

GDR,1980 Winter,7

GDR,1980 Summer,54

GDR,1972 Summer,12

GDR,1988 Summer,50

GDR,1984 Winter,6

GDR,1968 Summer,1

GDR,1972 Winter,1

GDR,1988 Winter,3

GDR,1976 Winter,1

