code,games,participants

CHN,1996 Summer,54

CHN,2008 Summer,42

CHN,2012 Summer,31

CHN,1988 Summer,12

CHN,2016 Summer,23

CHN,1992 Summer,33

CHN,2014 Winter,2

CHN,2000 Summer,12

CHN,2004 Summer,18

CHN,1984 Summer,1

CHN,2006 Winter,4

CHN,2010 Winter,2

CHN,1992 Winter,3

CHN,1998 Winter,7

CHN,2002 Winter,4

CHN,1994 Winter,1

DEN,1948 Summer,7

DEN,1998 Winter,5

DEN,1912 Summer,1

DEN,2012 Summer,1

DEN,1952 Summer,1

DEN,1956 Summer,1

DEN,1936 Summer,1

DEN,1984 Summer,1

DEN,2016 Summer,4

DEN,2000 Summer,1

NED,2016 Summer,22

NED,2000 Summer,23

NED,1972 Winter,2

NED,1928 Summer,3

NED,1992 Summer,4

NED,1996 Summer,6

NED,2008 Summer,17

NED,1964 Summer,6

NED,2004 Summer,19

NED,2012 Summer,7

NED,1988 Summer,5

NED,1952 Summer,7

NED,1976 Winter,1

NED,1932 Summer,5

NED,1960 Winter,1

NED,1968 Winter,1

NED,2010 Winter,1

NED,2002 Winter,2

NED,2006 Winter,1

NED,1960 Summer,1

NED,1984 Summer,7

NED,1972 Summer,1

NED,1936 Summer,1

NED,1948 Summer,1

NED,1980 Winter,1

NED,2014 Winter,3

USA,2008 Summer,81

USA,2004 Summer,42

USA,1992 Summer,19

USA,2012 Summer,30

USA,1952 Winter,2

USA,2016 Summer,29

USA,1988 Summer,21

USA,1972 Summer,10

USA,1976 Summer,28

USA,2002 Winter,22

USA,1996 Summer,16

USA,1984 Summer,45

USA,2000 Summer,32

USA,1924 Summer,6

USA,2006 Winter,6

USA,2010 Winter,26

USA,2014 Winter,24

USA,1956 Summer,12

USA,1984 Winter,3

USA,1928 Summer,8

USA,1932 Summer,7

USA,1964 Summer,13

USA,1904 Summer,2

USA,1948 Summer,4

USA,1968 Summer,8

USA,1992 Winter,6

USA,1936 Summer,2

USA,1968 Winter,3

USA,1948 Winter,1

USA,1980 Winter,3

USA,1920 Summer,3

USA,1956 Winter,1

USA,1972 Winter,1

USA,1994 Winter,3

USA,1998 Winter,2

USA,1924 Winter,1

USA,1932 Winter,1

USA,1952 Summer,1

USA,1960 Summer,3

USA,1960 Winter,3

USA,1976 Winter,2

USA,1964 Winter,1

USA,1900 Summer,1

FIN,1952 Winter,1

FIN,1924 Winter,1

FIN,1972 Winter,4

FIN,1976 Winter,5

FIN,2014 Winter,7

FIN,1964 Winter,2

FIN,1984 Summer,1

FIN,1968 Winter,1

FIN,2008 Summer,2

FIN,1948 Summer,1

FIN,2012 Summer,1

FIN,2006 Winter,1

FIN,1980 Winter,2

FIN,1992 Winter,1

NOR,1988 Summer,14

NOR,1984 Summer,1

NOR,2002 Winter,9

NOR,1984 Winter,1

NOR,2014 Winter,3

NOR,2010 Winter,2

NOR,2006 Winter,2

NOR,1920 Summer,1

NOR,1992 Summer,14

NOR,1988 Winter,4

NOR,1992 Winter,4

NOR,1994 Winter,5

NOR,2000 Summer,2

NOR,1998 Winter,5

NOR,1952 Summer,1

NOR,1968 Winter,1

NOR,2008 Summer,2

ROU,1996 Summer,6

ROU,1988 Summer,24

ROU,1984 Summer,19

ROU,1992 Summer,22

ROU,2000 Summer,5

ROU,2008 Summer,1

ROU,1972 Summer,2

ROU,2012 Summer,4

ROU,1976 Summer,7

ROU,1980 Summer,8

ROU,1964 Summer,1

ROU,1956 Summer,1

ROU,1968 Summer,2

ROU,2004 Summer,2

EST,2010 Winter,1

FRA,2016 Summer,22

FRA,2010 Winter,5

FRA,1996 Summer,3

FRA,2004 Summer,6

FRA,2012 Summer,15

FRA,1994 Winter,1

FRA,1920 Summer,1

FRA,1964 Summer,3

FRA,2000 Summer,5

FRA,1972 Winter,1

FRA,2008 Summer,2

FRA,1992 Winter,2

FRA,1968 Winter,2

FRA,1976 Summer,5

FRA,1964 Winter,2

FRA,1968 Summer,1

FRA,1992 Summer,1

FRA,2014 Winter,1

FRA,1952 Summer,1

FRA,1988 Summer,1

FRA,1984 Winter,1

FRA,2002 Winter,3

FRA,1900 Summer,2

FRA,1924 Summer,1

MAR,2004 Summer,1

ESP,2016 Summer,18

ESP,2004 Summer,6

ESP,2012 Summer,17

ESP,2008 Summer,12

ESP,1992 Summer,4

ESP,1996 Summer,1

BUL,1988 Summer,8

BUL,1972 Summer,2

BUL,1980 Summer,19

BUL,1996 Summer,7

BUL,2016 Summer,1

BUL,2000 Summer,1

BUL,1976 Summer,7

BUL,1992 Summer,3

BUL,2002 Winter,1

BUL,2006 Winter,1

BUL,2008 Summer,1

BUL,2012 Summer,1

ITA,2016 Summer,20

ITA,1928 Summer,12

