code,games,participants

CHN,1998 Winter,6

CHN,2002 Winter,7

CHN,2000 Summer,35

CHN,2008 Summer,56

CHN,2012 Summer,52

CHN,2016 Summer,38

CHN,2014 Winter,7

CHN,1988 Summer,14

CHN,2004 Summer,30

CHN,1984 Summer,27

CHN,1996 Summer,30

CHN,1992 Summer,26

CHN,2006 Winter,4

CHN,2010 Winter,3

DEN,1900 Summer,9

DEN,1920 Summer,70

DEN,1912 Summer,86

DEN,1906 Summer,34

DEN,1908 Summer,17

DEN,1948 Summer,39

DEN,2008 Summer,16

DEN,1960 Summer,23

DEN,1956 Summer,4

DEN,1968 Summer,17

DEN,2016 Summer,27

DEN,1976 Summer,8

DEN,1980 Summer,7

DEN,1988 Summer,7

DEN,1992 Summer,14

DEN,2000 Summer,9

DEN,2012 Summer,14

DEN,1964 Summer,12

DEN,1932 Summer,10

DEN,1984 Summer,7

DEN,1924 Summer,12

DEN,1996 Summer,6

DEN,2004 Summer,9

DEN,1952 Summer,7

DEN,1972 Summer,1

DEN,1928 Summer,15

DEN,1896 Summer,6

DEN,1936 Summer,4

NED,1996 Summer,44

NED,1952 Summer,11

NED,1928 Summer,42

NED,2012 Summer,27

NED,2000 Summer,33

NED,2004 Summer,36

NED,1908 Summer,16

NED,1924 Summer,26

NED,1920 Summer,50

NED,1992 Summer,24

NED,1988 Summer,21

NED,2014 Winter,16

NED,1964 Summer,21

NED,2010 Winter,7

NED,1948 Summer,28

NED,1900 Summer,27

NED,1998 Winter,9

NED,2002 Winter,6

NED,1912 Summer,26

NED,1952 Winter,3

NED,2016 Summer,16

NED,1976 Summer,12

NED,1980 Winter,2

NED,1936 Summer,29

NED,2006 Winter,9

NED,1968 Summer,12

NED,2008 Summer,4

NED,1988 Winter,4

NED,1976 Winter,5

NED,1972 Summer,5

NED,1932 Summer,8

NED,1906 Summer,6

NED,1960 Summer,1

NED,1980 Summer,2

NED,1968 Winter,4

NED,1960 Winter,1

NED,1994 Winter,4

NED,1972 Winter,4

NED,1984 Summer,2

NED,1992 Winter,4

NED,1964 Winter,1

USA,2004 Summer,117

USA,2014 Winter,25

USA,2000 Summer,118

USA,1924 Winter,11

USA,1900 Summer,58

USA,1904 Summer,384

USA,1932 Summer,161

USA,1920 Summer,180

USA,1936 Summer,79

USA,1912 Summer,107

USA,1952 Summer,119

USA,1996 Summer,132

USA,2008 Summer,155

USA,2012 Summer,88

USA,2016 Summer,115

USA,2006 Winter,23

USA,1972 Winter,17

USA,1948 Summer,130

USA,1928 Summer,66

USA,1984 Summer,212

USA,1972 Summer,132

USA,1964 Winter,5

USA,1964 Summer,126

USA,2002 Winter,53

USA,1968 Summer,120

USA,1956 Summer,100

USA,1932 Winter,32

USA,1956 Winter,24

USA,1988 Summer,140

USA,1976 Summer,111

USA,1960 Summer,97

USA,1952 Winter,26

USA,1924 Summer,159

USA,1992 Summer,123

USA,1908 Summer,65

USA,2010 Winter,59

USA,1980 Winter,26

USA,1948 Winter,14

USA,1994 Winter,7

USA,1998 Winter,7

USA,1896 Summer,20

USA,1988 Winter,3

USA,1906 Summer,24

USA,1936 Winter,16

USA,1992 Winter,2

USA,1984 Winter,5

USA,1960 Winter,20

USA,1928 Winter,13

USA,1976 Winter,4

USA,1968 Winter,2

FIN,1920 Summer,51

FIN,2014 Winter,26

FIN,1948 Summer,31

FIN,1952 Summer,39

FIN,1932 Summer,29

FIN,1924 Summer,52

FIN,1912 Summer,71

FIN,2002 Winter,13

FIN,2006 Winter,38

FIN,1994 Winter,28

FIN,1960 Winter,9

FIN,1928 Summer,25

FIN,1996 Summer,3

FIN,1936 Summer,27

FIN,2010 Winter,23

FIN,1998 Winter,38

FIN,1984 Summer,11

FIN,1972 Summer,10

FIN,1988 Winter,28

FIN,1924 Winter,14

FIN,1960 Summer,6

FIN,1992 Winter,11

FIN,1992 Summer,7

FIN,1976 Winter,10

FIN,1908 Summer,30

FIN,1928 Winter,4

FIN,2008 Summer,2

FIN,1952 Winter,9

FIN,1956 Winter,9

FIN,1956 Summer,26

FIN,2000 Summer,5

FIN,1948 Winter,9

FIN,1980 Summer,8

FIN,1964 Winter,9

FIN,1972 Winter,5

FIN,1936 Winter,9

FIN,1906 Summer,4

FIN,1976 Summer,6

FIN,1968 Summer,4

FIN,1980 Winter,9

FIN,1984 Winter,12

FIN,2004 Summer,2

FIN,1988 Summer,4

FIN,1968 Winter,6

FIN,1932 Winter,3

FIN,1964 Summer,5

FIN,2012 Summer,1

NOR,1992 Winter,19

NOR,1994 Winter,23

NOR,2002 Winter,28

NOR,2006 Winter,19

NOR,1920 Summer,136

NOR,1952 Winter,19

NOR,1960 Winter,9

NOR,1912 Summer,79

NOR,1998 Winter,28

NOR,1908 Summer,42

NOR,1968 Summer,6

NOR,1972 Summer,8

NOR,1928 Winter,14

NOR,1900 Summer,9

NOR,1906 Summer,25

NOR,1936 Winter,16

NOR,1980 Winter,10

NOR,1976 Summer,6

NOR,1928 Summer,9

NOR,1952 Summer,12

NOR,1932 Winter,9

NOR,2010 Winter,29

NOR,2014 Winter,18

NOR,1948 Summer,18

NOR,2000 Summer,8

NOR,2016 Summer,5

NOR,1960 Summer,2

NOR,1988 Summer,8

NOR,1992 Summer,8

NOR,1924 Summer,22

NOR,1924 Winter,17

NOR,1956 Summer,3

NOR,1972 Winter,14

NOR,1964 Winter,15

NOR,1956 Winter,4

NOR,2008 Summer,5

NOR,1936 Summer,28

NOR,1948 Winter,13

NOR,1976 Winter,9

NOR,1988 Winter,7

NOR,1968 Winter,17

NOR,1984 Winter,8

NOR,1904 Summer,2

NOR,2004 Summer,5

NOR,1984 Summer,3

NOR,1996 Summer,6

NOR,2012 Summer,3

ROU,1980 Summer,43

ROU,1972 Summer,32

ROU,1984 Summer,48

ROU,1996 Summer,9

ROU,1924 Summer,16

ROU,1988 Summer,13

ROU,1992 Summer,21

ROU,1968 Summer,13

ROU,1976 Summer,38

ROU,1964 Summer,10

ROU,1960 Summer,6

ROU,2000 Summer,9

ROU,2008 Summer,1

ROU,1956 Summer,11

ROU,2012 Summer,6

ROU,2004 Summer,12

ROU,1952 Summer,4

ROU,2016 Summer,3

ROU,1968 Winter,2

ROU,1936 Summer,1

EST,2000 Summer,3

EST,2008 Summer,3

EST,2016 Summer,4

EST,1928 Summer,9

EST,2004 Summer,3

EST,2012 Summer,2

EST,1924 Summer,6

EST,1920 Summer,3

EST,1936 Summer,7

EST,2002 Winter,3

EST,1992 Summer,2

EST,2006 Winter,1

FRA,1956 Summer,32

FRA,2008 Summer,67

FRA,2012 Summer,51

FRA,2016 Summer,68

FRA,2004 Summer,31

FRA,1948 Summer,68

FRA,1992 Summer,50

FRA,1996 Summer,32

FRA,1900 Summer,233

FRA,1920 Summer,136

FRA,1984 Summer,60

FRA,1988 Summer,27

FRA,1908 Summer,40

FRA,1936 Winter,1

FRA,1992 Winter,6

FRA,2002 Winter,9

FRA,1928 Summer,49

FRA,1924 Winter,9

FRA,2000 Summer,53

FRA,1952 Summer,39

FRA,1964 Summer,28

FRA,1924 Summer,109

FRA,1932 Summer,40

FRA,1994 Winter,6

FRA,1998 Winter,12

FRA,1968 Summer,25

FRA,1906 Summer,63

FRA,1980 Summer,23

FRA,2014 Winter,15

FRA,1972 Summer,22

FRA,1976 Summer,15

FRA,1936 Summer,44

FRA,1964 Winter,3

FRA,1912 Summer,24

FRA,1984 Winter,1

FRA,1960 Winter,3

FRA,2010 Winter,6

FRA,1928 Winter,1

FRA,1932 Winter,1

FRA,1896 Summer,11

FRA,2006 Winter,9

FRA,1904 Summer,2

FRA,1948 Winter,5

FRA,1960 Summer,12

FRA,1968 Winter,5

FRA,1972 Winter,1

FRA,1988 Winter,2

MAR,1988 Summer,3

MAR,1992 Summer,3

MAR,1984 Summer,1

MAR,1960 Summer,1

MAR,1996 Summer,2

MAR,2000 Summer,4

MAR,2004 Summer,2

MAR,2008 Summer,1

MAR,2012 Summer,1

MAR,2016 Summer,1

ESP,2008 Summer,57

ESP,1996 Summer,53

ESP,1980 Summer,24

ESP,1984 Summer,19

ESP,1992 Summer,45

ESP,2016 Summer,21

ESP,1920 Summer,23

ESP,2000 Summer,38

ESP,1928 Summer,3

ESP,1960 Summer,14

ESP,1932 Summer,1

ESP,2004 Summer,22

ESP,2012 Summer,17

ESP,1988 Summer,5

ESP,1900 Summer,2

ESP,1976 Summer,6

ESP,1972 Winter,1

ESP,1948 Summer,3

ESP,1952 Summer,1

ESP,1972 Summer,1

EGY,2012 Summer,2

EGY,2004 Summer,5

EGY,1936 Summer,5

EGY,1948 Summer,5

EGY,2016 Summer,1

EGY,2008 Summer,1

EGY,1928 Summer,4

EGY,1952 Summer,1

EGY,1984 Summer,1

IRI,2016 Summer,7

IRI,1972 Summer,3

IRI,2012 Summer,12

IRI,1976 Summer,2

IRI,2000 Summer,4

IRI,1960 Summer,4

IRI,1952 Summer,7

IRI,1956 Summer,5

IRI,1964 Summer,2

IRI,2004 Summer,6

IRI,1996 Summer,3

IRI,1968 Summer,5

IRI,1992 Summer,3

IRI,2008 Summer,2

IRI,1988 Summer,1

IRI,1948 Summer,1

BUL,1980 Summer,54

BUL,1964 Summer,10

BUL,1972 Summer,18

BUL,1976 Summer,14

BUL,1988 Summer,19

BUL,2000 Summer,10

BUL,1960 Summer,7

BUL,1992 Summer,12

BUL,1996 Summer,12

BUL,1956 Summer,18

BUL,2004 Summer,8

BUL,1968 Summer,26

BUL,1980 Winter,1

BUL,1952 Summer,1

BUL,2012 Summer,1

BUL,2008 Summer,3

ITA,2016 Summer,49

ITA,1936 Summer,75

ITA,1988 Summer,24

ITA,1996 Summer,54

ITA,2000 Summer,52

ITA,1984 Summer,59

ITA,1992 Summer,38

ITA,2004 Summer,78

ITA,2008 Summer,28

ITA,1928 Summer,60

ITA,1932 Summer,77

ITA,1948 Summer,65

ITA,2012 Summer,52

ITA,1968 Summer,33

ITA,1992 Winter,14

ITA,1994 Winter,19

ITA,1998 Winter,10

ITA,1976 Summer,29

ITA,1920 Summer,84

ITA,1912 Summer,25

ITA,1956 Winter,8

ITA,1924 Summer,51

ITA,1960 Summer,82

ITA,1964 Summer,50

ITA,2006 Winter,15

ITA,1956 Summer,47

ITA,2002 Winter,12

ITA,1952 Summer,53

ITA,1972 Summer,20

ITA,1968 Winter,7

ITA,1964 Winter,10

ITA,1906 Summer,56

ITA,1908 Summer,8

ITA,1948 Winter,1

ITA,1980 Summer,34

