code,games,participants

CHN,1998 Winter,2

CHN,2008 Summer,11

CHN,2016 Summer,7

CHN,2012 Summer,9

CHN,1996 Summer,16

CHN,2000 Summer,11

CHN,2004 Summer,9

CHN,1992 Summer,12

CHN,2014 Winter,2

CHN,1988 Summer,4

CHN,1984 Summer,12

CHN,2002 Winter,1

CHN,2010 Winter,1

CHN,2006 Winter,1

DEN,1906 Summer,19

DEN,1948 Summer,10

DEN,1908 Summer,14

DEN,1912 Summer,48

DEN,1960 Summer,17

DEN,1956 Summer,3

DEN,2016 Summer,6

DEN,1968 Summer,6

DEN,1920 Summer,44

DEN,2012 Summer,4

DEN,2008 Summer,7

DEN,1924 Summer,9

DEN,1980 Summer,2

DEN,1992 Summer,2

DEN,2000 Summer,2

DEN,1932 Summer,7

DEN,1984 Summer,2

DEN,1896 Summer,2

DEN,1936 Summer,2

DEN,1928 Summer,5

DEN,1900 Summer,3

DEN,1988 Summer,1

DEN,2004 Summer,1

DEN,1964 Summer,1

DEN,1996 Summer,1

NED,1996 Summer,3

NED,1952 Summer,11

NED,1928 Summer,26

NED,2012 Summer,22

NED,2000 Summer,6

NED,2004 Summer,32

NED,1920 Summer,10

NED,1992 Summer,16

NED,1964 Summer,4

NED,2014 Winter,4

NED,1998 Winter,4

NED,2002 Winter,3

NED,1900 Summer,8

NED,1952 Winter,3

NED,2016 Summer,3

NED,1936 Summer,6

NED,1968 Summer,7

NED,1976 Winter,1

NED,1980 Winter,1

NED,2006 Winter,1

NED,1932 Summer,5

NED,1924 Summer,1

NED,2008 Summer,1

NED,1980 Summer,1

NED,1988 Summer,1

NED,1976 Summer,2

NED,1994 Winter,1

NED,1968 Winter,2

NED,1906 Summer,1

NED,1964 Winter,1

NED,1972 Winter,1

NED,1988 Winter,2

NED,1948 Summer,1

NED,1992 Winter,1

USA,2004 Summer,33

USA,1924 Winter,9

USA,1912 Summer,25

USA,1904 Summer,139

USA,2012 Summer,27

USA,2006 Winter,5

USA,1972 Winter,17

USA,1936 Summer,27

USA,2014 Winter,6

USA,2002 Winter,36

USA,1948 Summer,26

USA,1952 Summer,22

USA,1928 Summer,16

USA,1932 Winter,20

USA,1956 Winter,18

USA,1956 Summer,30

USA,1988 Summer,45

USA,1932 Summer,40

USA,1952 Winter,23

USA,1972 Summer,49

USA,2008 Summer,29

USA,1976 Summer,30

USA,1960 Summer,20

USA,1984 Summer,71

USA,2010 Winter,37

USA,1964 Summer,24

USA,1920 Summer,42

USA,1948 Winter,3

USA,1994 Winter,5

USA,1900 Summer,15

USA,2000 Summer,29

USA,1968 Summer,24

USA,1908 Summer,16

USA,1992 Summer,31

USA,1896 Summer,7

USA,1924 Summer,30

USA,2016 Summer,25

USA,1984 Winter,2

USA,1996 Summer,32

USA,1960 Winter,1

USA,1928 Winter,6

USA,1988 Winter,1

USA,1964 Winter,1

USA,1976 Winter,1

USA,1906 Summer,6

USA,1980 Winter,1

USA,1968 Winter,2

USA,1998 Winter,2

USA,1992 Winter,1

FIN,1924 Summer,13

FIN,2002 Winter,5

FIN,2006 Winter,33

FIN,1996 Summer,2

FIN,1936 Summer,6

FIN,1912 Summer,40

FIN,1988 Winter,22

FIN,1924 Winter,7

FIN,1992 Summer,4

FIN,1976 Winter,5

FIN,1948 Summer,7

FIN,1956 Winter,6

FIN,1960 Winter,3

FIN,1952 Winter,3

FIN,2000 Summer,1

FIN,1948 Winter,6

FIN,1964 Winter,5

FIN,1972 Winter,5

FIN,1932 Summer,8

FIN,1928 Summer,8

FIN,1920 Summer,14

FIN,1976 Summer,2

FIN,1980 Winter,3

FIN,1984 Winter,3

FIN,2004 Summer,2

FIN,1968 Summer,2

FIN,1988 Summer,1

FIN,1998 Winter,7

FIN,1932 Winter,1

FIN,1960 Summer,1

FIN,1980 Summer,1

FIN,1956 Summer,1

FIN,1968 Winter,1

FIN,1994 Winter,1

FIN,2010 Winter,1

FIN,1952 Summer,3

FIN,1908 Summer,1

FIN,1984 Summer,1

FIN,1928 Winter,1

FIN,1972 Summer,1

FIN,1936 Winter,2

FIN,1906 Summer,1

NOR,1994 Winter,12

NOR,1920 Summer,51

NOR,1908 Summer,32

NOR,1976 Summer,4

NOR,1998 Winter,10

NOR,1992 Winter,6

NOR,1952 Summer,7

NOR,1980 Winter,5

NOR,1932 Winter,4

NOR,1936 Winter,8

NOR,2000 Summer,2

NOR,2010 Winter,12

NOR,1988 Summer,6

NOR,1992 Summer,6

NOR,2006 Winter,7

NOR,1924 Winter,7

NOR,1972 Winter,8

NOR,1906 Summer,5

NOR,1952 Winter,6

NOR,1960 Winter,6

NOR,2008 Summer,3

NOR,1948 Winter,3

NOR,1976 Winter,6

NOR,1936 Summer,12

NOR,1964 Winter,6

NOR,1948 Summer,4

NOR,1968 Winter,8

NOR,2002 Winter,2

NOR,1928 Winter,4

NOR,1900 Summer,6

NOR,1972 Summer,2

NOR,1912 Summer,6

NOR,1996 Summer,3

NOR,1956 Winter,1

NOR,1928 Summer,4

NOR,1988 Winter,2

NOR,1984 Winter,4

NOR,1924 Summer,5

NOR,1968 Summer,2

NOR,2014 Winter,2

NOR,2012 Summer,1

ROU,1980 Summer,7

ROU,1972 Summer,8

ROU,1968 Summer,7

ROU,1976 Summer,21
