code,event,participants

CHN,Basketball Men's Basketball,130

CHN,Judo Men's Extra-Lightweight,6

CHN,Boxing Men's Middleweight,7

CHN,"Wrestling Men's Lightweight, Greco-Roman",5

CHN,Swimming Women's 200 metres Freestyle,16

CHN,Swimming Women's 4 x 200 metres Freestyle Relay,31

CHN,Speed Skating Men's 500 metres,25

CHN,"Speed Skating Men's 1,000 metres",22

CHN,Short Track Speed Skating Men's 500 metres,15

CHN,"Short Track Speed Skating Men's 1,000 metres",16

CHN,"Short Track Speed Skating Men's 5,000 metres Relay",25

CHN,Softball Women's Softball,60

CHN,Hockey Men's Hockey,17

CHN,Judo Men's Middleweight,6

CHN,Curling Men's Curling,9

CHN,Basketball Women's Basketball,93

CHN,"Wrestling Men's Heavyweight, Greco-Roman",3

CHN,Archery Men's Individual,26

CHN,Swimming Women's 200 metres Backstroke,16

CHN,Boxing Men's Light-Heavyweight,5

CHN,Triathlon Men's Olympic Distance,3

CHN,Football Women's Football,74

CHN,Rhythmic Gymnastics Women's Individual,13

CHN,"Athletics Women's 10,000 metres",14

CHN,Badminton Men's Singles,20

CHN,Football Men's Football,55

CHN,"Fencing Women's Sabre, Individual",8

CHN,"Fencing Women's Sabre, Team",4

CHN,Rhythmic Gymnastics Women's Group,22

CHN,Figure Skating Women's Singles,12

CHN,"Wrestling Men's Light-Heavyweight, Freestyle",2

CHN,Gymnastics Women's Individual All-Around,48

CHN,Gymnastics Women's Team All-Around,53

CHN,Gymnastics Women's Horse Vault,37

CHN,Gymnastics Women's Uneven Bars,46

CHN,Gymnastics Women's Balance Beam,46

CHN,Athletics Men's Hammer Throw,1

CHN,Volleyball Men's Volleyball,24

CHN,Athletics Women's Shot Put,24

CHN,Athletics Women's 400 metres,3

CHN,Baseball Men's Baseball,24

CHN,Swimming Women's 100 metres Butterfly,17

CHN,Swimming Women's 4 x 100 metres Medley Relay,45

CHN,Athletics Men's 100 metres,15

CHN,Athletics Men's 4 x 100 metres Relay,20

CHN,Swimming Men's 50 metres Freestyle,9

CHN,Swimming Men's 4 x 100 metres Freestyle Relay,24

CHN,Athletics Men's Marathon,14

CHN,Water Polo Men's Water Polo,37

CHN,Athletics Men's High Jump,11

CHN,Athletics Men's 50 kilometres Walk,22

CHN,Hockey Women's Hockey,80

CHN,Snowboarding Women's Halfpipe,9

CHN,"Shooting Men's Air Rifle, 10 metres",17

CHN,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",18

